verein,marktwert,date
Eintracht Frankfurt,279.43,2019-07-01
VfL Wolfsburg,232.10,2019-07-01
Borussia Mönchengladbach,249.80,2019-07-01
TSG 1899 Hoffenheim,269.35,2019-07-01
VfB Stuttgart,87.75,2019-07-01
SC Freiburg,115.08,2019-07-01
1.FSV Mainz 05,164.60,2019-07-01
1.FC Köln,85.40,2019-07-01
FC Augsburg,128.70,2019-07-01
Hertha BSC,190.08,2019-07-01
1.FC Union Berlin,27.98,2019-07-01
Arminia Bielefeld,16.10,2019-07-01
VfL Bochum,13.75,2019-07-01
SpVgg Greuther Fürth,12.10,2019-07-01
FC Bayern München,751.50,2019-06-15
Borussia Dortmund,608.30,2019-06-15
RasenBallsport Leipzig,476.70,2019-06-15
Bayer 04 Leverkusen,413.60,2019-06-15
Eintracht Frankfurt,289.70,2019-06-15
VfL Wolfsburg,201.85,2019-06-15
Borussia Mönchengladbach,262.80,2019-06-15
TSG 1899 Hoffenheim,295.45,2019-06-15
VfB Stuttgart,127.20,2019-06-15
SC Freiburg,115.85,2019-06-15
1.FSV Mainz 05,155.95,2019-06-15
1.FC Köln,78.10,2019-06-15
FC Augsburg,119.70,2019-06-15
Hertha BSC,205.30,2019-06-15
1.FC Union Berlin,27.40,2019-06-15
Arminia Bielefeld,18.40,2019-06-15
VfL Bochum,17.40,2019-06-15
SpVgg Greuther Fürth,14.43,2019-06-15
FC Bayern München,772.00,2019-06-01
Borussia Dortmund,602.30,2019-06-01
RasenBallsport Leipzig,432.30,2019-06-01
Bayer 04 Leverkusen,387.25,2019-06-01
Eintracht Frankfurt,261.70,2019-06-01
VfL Wolfsburg,176.90,2019-06-01
Borussia Mönchengladbach,299.60,2019-06-01
TSG 1899 Hoffenheim,275.75,2019-06-01
VfB Stuttgart,160.20,2019-06-01
SC Freiburg,108.60,2019-06-01
1.FSV Mainz 05,133.00,2019-06-01
1.FC Köln,80.05,2019-06-01
FC Augsburg,113.05,2019-06-01
Hertha BSC,203.50,2019-06-01
1.FC Union Berlin,23.25,2019-06-01
Arminia Bielefeld,18.15,2019-06-01
VfL Bochum,17.65,2019-06-01
SpVgg Greuther Fürth,14.50,2019-06-01
FC Bayern München,772.00,2019-05-15
Borussia Dortmund,602.30,2019-05-15
RasenBallsport Leipzig,432.30,2019-05-15
Bayer 04 Leverkusen,387.25,2019-05-15
Eintracht Frankfurt,261.70,2019-05-15
VfL Wolfsburg,176.90,2019-05-15
Borussia Mönchengladbach,299.60,2019-05-15
TSG 1899 Hoffenheim,275.75,2019-05-15
VfB Stuttgart,160.20,2019-05-15
SC Freiburg,108.60,2019-05-15
1.FSV Mainz 05,133.00,2019-05-15
1.FC Köln,80.05,2019-05-15
FC Augsburg,113.05,2019-05-15
Hertha BSC,203.50,2019-05-15
1.FC Union Berlin,23.25,2019-05-15
Arminia Bielefeld,18.15,2019-05-15
VfL Bochum,17.65,2019-05-15
SpVgg Greuther Fürth,14.50,2019-05-15
FC Bayern München,770.70,2019-05-01
Borussia Dortmund,602.30,2019-05-01
RasenBallsport Leipzig,432.30,2019-05-01
Bayer 04 Leverkusen,387.25,2019-05-01
Eintracht Frankfurt,261.70,2019-05-01
VfL Wolfsburg,176.90,2019-05-01
Borussia Mönchengladbach,299.60,2019-05-01
TSG 1899 Hoffenheim,275.75,2019-05-01
VfB Stuttgart,160.20,2019-05-01
SC Freiburg,108.60,2019-05-01
1.FSV Mainz 05,133.00,2019-05-01
1.FC Köln,80.05,2019-05-01
FC Augsburg,113.05,2019-05-01
Hertha BSC,203.50,2019-05-01
1.FC Union Berlin,23.25,2019-05-01
Arminia Bielefeld,18.15,2019-05-01
VfL Bochum,17.65,2019-05-01
SpVgg Greuther Fürth,14.50,2019-05-01
FC Bayern München,770.70,2019-04-15
Borussia Dortmund,602.30,2019-04-15
RasenBallsport Leipzig,432.30,2019-04-15
Bayer 04 Leverkusen,387.25,2019-04-15
Eintracht Frankfurt,261.70,2019-04-15
VfL Wolfsburg,177.65,2019-04-15
Borussia Mönchengladbach,299.60,2019-04-15
TSG 1899 Hoffenheim,275.75,2019-04-15
VfB Stuttgart,160.20,2019-04-15
SC Freiburg,108.48,2019-04-15
1.FSV Mainz 05,133.00,2019-04-15
1.FC Köln,79.95,2019-04-15
FC Augsburg,113.05,2019-04-15
Hertha BSC,203.50,2019-04-15
1.FC Union Berlin,23.25,2019-04-15
Arminia Bielefeld,18.15,2019-04-15
VfL Bochum,17.65,2019-04-15
SpVgg Greuther Fürth,14.50,2019-04-15
FC Bayern München,770.70,2019-04-01
Borussia Dortmund,602.30,2019-04-01
RasenBallsport Leipzig,432.30,2019-04-01
Bayer 04 Leverkusen,387.25,2019-04-01
Eintracht Frankfurt,261.70,2019-04-01
VfL Wolfsburg,177.65,2019-04-01
Borussia Mönchengladbach,299.60,2019-04-01
TSG 1899 Hoffenheim,275.75,2019-04-01
VfB Stuttgart,160.20,2019-04-01
SC Freiburg,108.48,2019-04-01
1.FSV Mainz 05,133.00,2019-04-01
1.FC Köln,79.95,2019-04-01
FC Augsburg,113.05,2019-04-01
Hertha BSC,203.50,2019-04-01
1.FC Union Berlin,23.25,2019-04-01
Arminia Bielefeld,18.15,2019-04-01
VfL Bochum,17.65,2019-04-01
SpVgg Greuther Fürth,14.50,2019-04-01
FC Bayern München,770.70,2019-03-15
Borussia Dortmund,602.30,2019-03-15
RasenBallsport Leipzig,432.30,2019-03-15
Bayer 04 Leverkusen,387.25,2019-03-15
Eintracht Frankfurt,261.70,2019-03-15
VfL Wolfsburg,177.65,2019-03-15
Borussia Mönchengladbach,299.60,2019-03-15
TSG 1899 Hoffenheim,275.75,2019-03-15
VfB Stuttgart,160.20,2019-03-15
SC Freiburg,108.48,2019-03-15
1.FSV Mainz 05,133.00,2019-03-15
1.FC Köln,79.95,2019-03-15
FC Augsburg,113.05,2019-03-15
Hertha BSC,203.50,2019-03-15
1.FC Union Berlin,23.25,2019-03-15
Arminia Bielefeld,18.15,2019-03-15
VfL Bochum,17.65,2019-03-15
SpVgg Greuther Fürth,14.50,2019-03-15
FC Bayern München,745.70,2019-03-01
Borussia Dortmund,556.80,2019-03-01
RasenBallsport Leipzig,388.30,2019-03-01
Bayer 04 Leverkusen,377.25,2019-03-01
Eintracht Frankfurt,224.20,2019-03-01
VfL Wolfsburg,161.65,2019-03-01
Borussia Mönchengladbach,275.10,2019-03-01
TSG 1899 Hoffenheim,252.55,2019-03-01
VfB Stuttgart,168.70,2019-03-01
SC Freiburg,101.90,2019-03-01
1.FSV Mainz 05,126.80,2019-03-01
1.FC Köln,81.70,2019-03-01
FC Augsburg,117.05,2019-03-01
Hertha BSC,178.50,2019-03-01
1.FC Union Berlin,21.90,2019-03-01
Arminia Bielefeld,19.43,2019-03-01
VfL Bochum,17.30,2019-03-01
SpVgg Greuther Fürth,14.30,2019-03-01
FC Bayern München,745.70,2019-02-15
Borussia Dortmund,556.80,2019-02-15
RasenBallsport Leipzig,384.30,2019-02-15
Bayer 04 Leverkusen,377.05,2019-02-15
Eintracht Frankfurt,223.05,2019-02-15
VfL Wolfsburg,161.65,2019-02-15
Borussia Mönchengladbach,275.10,2019-02-15
TSG 1899 Hoffenheim,249.55,2019-02-15
VfB Stuttgart,168.70,2019-02-15
SC Freiburg,101.90,2019-02-15
1.FSV Mainz 05,126.80,2019-02-15
1.FC Köln,81.70,2019-02-15
FC Augsburg,117.05,2019-02-15
Hertha BSC,178.50,2019-02-15
1.FC Union Berlin,21.90,2019-02-15
Arminia Bielefeld,19.43,2019-02-15
VfL Bochum,17.30,2019-02-15
SpVgg Greuther Fürth,14.30,2019-02-15
FC Bayern München,745.70,2019-02-01
Borussia Dortmund,556.80,2019-02-01
RasenBallsport Leipzig,384.50,2019-02-01
Bayer 04 Leverkusen,377.05,2019-02-01
Eintracht Frankfurt,226.05,2019-02-01
VfL Wolfsburg,161.65,2019-02-01
Borussia Mönchengladbach,275.10,2019-02-01
TSG 1899 Hoffenheim,249.55,2019-02-01
VfB Stuttgart,168.70,2019-02-01
SC Freiburg,103.90,2019-02-01
1.FSV Mainz 05,126.80,2019-02-01
1.FC Köln,81.70,2019-02-01
FC Augsburg,122.05,2019-02-01
Hertha BSC,179.13,2019-02-01
1.FC Union Berlin,21.90,2019-02-01
Arminia Bielefeld,19.40,2019-02-01
VfL Bochum,17.30,2019-02-01
SpVgg Greuther Fürth,14.30,2019-02-01
FC Bayern München,753.70,2019-01-15
Borussia Dortmund,571.55,2019-01-15
RasenBallsport Leipzig,384.50,2019-01-15
Bayer 04 Leverkusen,377.50,2019-01-15
Eintracht Frankfurt,218.15,2019-01-15
VfL Wolfsburg,165.40,2019-01-15
Borussia Mönchengladbach,276.10,2019-01-15
TSG 1899 Hoffenheim,256.20,2019-01-15
VfB Stuttgart,166.00,2019-01-15
SC Freiburg,104.80,2019-01-15
1.FSV Mainz 05,126.80,2019-01-15
1.FC Köln,79.95,2019-01-15
FC Augsburg,125.05,2019-01-15
Hertha BSC,179.23,2019-01-15
1.FC Union Berlin,19.40,2019-01-15
Arminia Bielefeld,19.60,2019-01-15
VfL Bochum,17.40,2019-01-15
SpVgg Greuther Fürth,14.00,2019-01-15
FC Bayern München,753.70,2019-01-01
Borussia Dortmund,569.05,2019-01-01
RasenBallsport Leipzig,384.50,2019-01-01
Bayer 04 Leverkusen,377.50,2019-01-01
Eintracht Frankfurt,218.75,2019-01-01
VfL Wolfsburg,166.40,2019-01-01
Borussia Mönchengladbach,276.10,2019-01-01
TSG 1899 Hoffenheim,273.20,2019-01-01
VfB Stuttgart,156.00,2019-01-01
SC Freiburg,98.80,2019-01-01
1.FSV Mainz 05,126.80,2019-01-01
1.FC Köln,89.30,2019-01-01
FC Augsburg,124.05,2019-01-01
Hertha BSC,179.23,2019-01-01
1.FC Union Berlin,20.50,2019-01-01
Arminia Bielefeld,18.75,2019-01-01
VfL Bochum,17.90,2019-01-01
SpVgg Greuther Fürth,14.10,2019-01-01
FC Bayern München,807.93,2018-12-15
Borussia Dortmund,472.30,2018-12-15
RasenBallsport Leipzig,330.00,2018-12-15
Bayer 04 Leverkusen,404.20,2018-12-15
Eintracht Frankfurt,166.50,2018-12-15
VfL Wolfsburg,156.25,2018-12-15
Borussia Mönchengladbach,235.60,2018-12-15
TSG 1899 Hoffenheim,246.45,2018-12-15
VfB Stuttgart,165.30,2018-12-15
SC Freiburg,88.15,2018-12-15
1.FSV Mainz 05,108.00,2018-12-15
1.FC Köln,90.80,2018-12-15
FC Augsburg,113.00,2018-12-15
Hertha BSC,174.08,2018-12-15
1.FC Union Berlin,20.50,2018-12-15
Arminia Bielefeld,18.75,2018-12-15
VfL Bochum,16.40,2018-12-15
SpVgg Greuther Fürth,14.10,2018-12-15
FC Bayern München,807.93,2018-12-01
Borussia Dortmund,472.30,2018-12-01
RasenBallsport Leipzig,330.00,2018-12-01
Bayer 04 Leverkusen,404.20,2018-12-01
Eintracht Frankfurt,166.50,2018-12-01
VfL Wolfsburg,156.25,2018-12-01
Borussia Mönchengladbach,235.60,2018-12-01
TSG 1899 Hoffenheim,246.45,2018-12-01
VfB Stuttgart,165.30,2018-12-01
SC Freiburg,88.15,2018-12-01
1.FSV Mainz 05,108.00,2018-12-01
1.FC Köln,90.80,2018-12-01
FC Augsburg,113.00,2018-12-01
Hertha BSC,174.08,2018-12-01
1.FC Union Berlin,20.50,2018-12-01
Arminia Bielefeld,18.75,2018-12-01
VfL Bochum,16.40,2018-12-01
SpVgg Greuther Fürth,14.10,2018-12-01
FC Bayern München,807.80,2018-11-15
Borussia Dortmund,472.30,2018-11-15
RasenBallsport Leipzig,330.00,2018-11-15
Bayer 04 Leverkusen,404.20,2018-11-15
Eintracht Frankfurt,166.50,2018-11-15
VfL Wolfsburg,156.25,2018-11-15
Borussia Mönchengladbach,235.60,2018-11-15
TSG 1899 Hoffenheim,246.45,2018-11-15
VfB Stuttgart,165.30,2018-11-15
SC Freiburg,88.15,2018-11-15
1.FSV Mainz 05,108.00,2018-11-15
1.FC Köln,74.90,2018-11-15
FC Augsburg,113.00,2018-11-15
Hertha BSC,174.08,2018-11-15
1.FC Union Berlin,20.50,2018-11-15
Arminia Bielefeld,18.75,2018-11-15
VfL Bochum,16.40,2018-11-15
SpVgg Greuther Fürth,14.10,2018-11-15
FC Bayern München,807.80,2018-11-01
Borussia Dortmund,472.30,2018-11-01
RasenBallsport Leipzig,330.00,2018-11-01
Bayer 04 Leverkusen,404.20,2018-11-01
Eintracht Frankfurt,166.50,2018-11-01
VfL Wolfsburg,156.25,2018-11-01
Borussia Mönchengladbach,235.60,2018-11-01
TSG 1899 Hoffenheim,246.45,2018-11-01
VfB Stuttgart,165.30,2018-11-01
SC Freiburg,88.15,2018-11-01
1.FSV Mainz 05,108.00,2018-11-01
1.FC Köln,74.90,2018-11-01
FC Augsburg,113.00,2018-11-01
Hertha BSC,174.08,2018-11-01
1.FC Union Berlin,20.50,2018-11-01
Arminia Bielefeld,18.75,2018-11-01
VfL Bochum,16.40,2018-11-01
SpVgg Greuther Fürth,14.10,2018-11-01
FC Bayern München,827.80,2018-10-15
Borussia Dortmund,412.30,2018-10-15
RasenBallsport Leipzig,316.00,2018-10-15
Bayer 04 Leverkusen,377.20,2018-10-15
Eintracht Frankfurt,148.00,2018-10-15
VfL Wolfsburg,148.25,2018-10-15
Borussia Mönchengladbach,209.65,2018-10-15
TSG 1899 Hoffenheim,214.85,2018-10-15
VfB Stuttgart,165.10,2018-10-15
SC Freiburg,85.65,2018-10-15
1.FSV Mainz 05,101.95,2018-10-15
1.FC Köln,76.50,2018-10-15
FC Augsburg,100.80,2018-10-15
Hertha BSC,135.53,2018-10-15
1.FC Union Berlin,19.95,2018-10-15
Arminia Bielefeld,17.30,2018-10-15
VfL Bochum,15.25,2018-10-15
SpVgg Greuther Fürth,13.03,2018-10-15
FC Bayern München,827.65,2018-10-01
Borussia Dortmund,412.30,2018-10-01
RasenBallsport Leipzig,316.00,2018-10-01
Bayer 04 Leverkusen,377.20,2018-10-01
Eintracht Frankfurt,148.00,2018-10-01
VfL Wolfsburg,148.25,2018-10-01
Borussia Mönchengladbach,209.65,2018-10-01
TSG 1899 Hoffenheim,214.85,2018-10-01
VfB Stuttgart,165.10,2018-10-01
SC Freiburg,85.65,2018-10-01
1.FSV Mainz 05,101.95,2018-10-01
1.FC Köln,76.50,2018-10-01
FC Augsburg,100.80,2018-10-01
Hertha BSC,135.53,2018-10-01
1.FC Union Berlin,19.95,2018-10-01
Arminia Bielefeld,17.30,2018-10-01
VfL Bochum,15.25,2018-10-01
SpVgg Greuther Fürth,13.03,2018-10-01
FC Bayern München,827.80,2018-09-15
Borussia Dortmund,412.30,2018-09-15
RasenBallsport Leipzig,316.00,2018-09-15
Bayer 04 Leverkusen,377.20,2018-09-15
Eintracht Frankfurt,147.90,2018-09-15
VfL Wolfsburg,148.25,2018-09-15
Borussia Mönchengladbach,209.65,2018-09-15
TSG 1899 Hoffenheim,214.85,2018-09-15
VfB Stuttgart,165.10,2018-09-15
SC Freiburg,85.65,2018-09-15
1.FSV Mainz 05,101.95,2018-09-15
1.FC Köln,76.50,2018-09-15
FC Augsburg,100.80,2018-09-15
Hertha BSC,135.53,2018-09-15
1.FC Union Berlin,19.95,2018-09-15
Arminia Bielefeld,17.30,2018-09-15
VfL Bochum,15.25,2018-09-15
SpVgg Greuther Fürth,13.03,2018-09-15
FC Bayern München,827.80,2018-09-01
Borussia Dortmund,412.30,2018-09-01
RasenBallsport Leipzig,316.00,2018-09-01
Bayer 04 Leverkusen,377.20,2018-09-01
Eintracht Frankfurt,147.90,2018-09-01
VfL Wolfsburg,149.05,2018-09-01
Borussia Mönchengladbach,209.65,2018-09-01
TSG 1899 Hoffenheim,214.45,2018-09-01
VfB Stuttgart,164.75,2018-09-01
SC Freiburg,85.65,2018-09-01
1.FSV Mainz 05,101.75,2018-09-01
1.FC Köln,76.50,2018-09-01
FC Augsburg,100.80,2018-09-01
Hertha BSC,135.53,2018-09-01
1.FC Union Berlin,19.95,2018-09-01
Arminia Bielefeld,17.30,2018-09-01
VfL Bochum,13.75,2018-09-01
SpVgg Greuther Fürth,12.95,2018-09-01
FC Bayern München,844.65,2018-08-15
Borussia Dortmund,378.25,2018-08-15
RasenBallsport Leipzig,298.65,2018-08-15
Bayer 04 Leverkusen,364.70,2018-08-15
Eintracht Frankfurt,126.75,2018-08-15
VfL Wolfsburg,140.30,2018-08-15
Borussia Mönchengladbach,197.53,2018-08-15
TSG 1899 Hoffenheim,200.80,2018-08-15
VfB Stuttgart,154.35,2018-08-15
SC Freiburg,83.13,2018-08-15
1.FSV Mainz 05,84.48,2018-08-15
1.FC Köln,74.75,2018-08-15
FC Augsburg,96.35,2018-08-15
Hertha BSC,119.25,2018-08-15
1.FC Union Berlin,17.90,2018-08-15
Arminia Bielefeld,17.13,2018-08-15
VfL Bochum,14.15,2018-08-15
SpVgg Greuther Fürth,11.10,2018-08-15
FC Bayern München,879.65,2018-08-01
Borussia Dortmund,358.25,2018-08-01
RasenBallsport Leipzig,299.75,2018-08-01
Bayer 04 Leverkusen,361.85,2018-08-01
Eintracht Frankfurt,126.75,2018-08-01
VfL Wolfsburg,132.30,2018-08-01
Borussia Mönchengladbach,197.33,2018-08-01
TSG 1899 Hoffenheim,202.10,2018-08-01
VfB Stuttgart,156.75,2018-08-01
SC Freiburg,101.00,2018-08-01
1.FSV Mainz 05,78.98,2018-08-01
1.FC Köln,75.18,2018-08-01
FC Augsburg,97.85,2018-08-01
Hertha BSC,119.25,2018-08-01
1.FC Union Berlin,18.00,2018-08-01
Arminia Bielefeld,17.13,2018-08-01
VfL Bochum,14.15,2018-08-01
SpVgg Greuther Fürth,11.65,2018-08-01
FC Bayern München,867.65,2018-07-15
Borussia Dortmund,346.75,2018-07-15
RasenBallsport Leipzig,300.10,2018-07-15
Bayer 04 Leverkusen,357.00,2018-07-15
Eintracht Frankfurt,99.75,2018-07-15
VfL Wolfsburg,132.30,2018-07-15
Borussia Mönchengladbach,194.03,2018-07-15
TSG 1899 Hoffenheim,183.10,2018-07-15
VfB Stuttgart,147.85,2018-07-15
SC Freiburg,101.50,2018-07-15
1.FSV Mainz 05,78.98,2018-07-15
1.FC Köln,72.68,2018-07-15
FC Augsburg,96.85,2018-07-15
Hertha BSC,117.45,2018-07-15
1.FC Union Berlin,17.60,2018-07-15
Arminia Bielefeld,17.13,2018-07-15
VfL Bochum,13.15,2018-07-15
SpVgg Greuther Fürth,11.75,2018-07-15
FC Bayern München,868.25,2018-07-01
Borussia Dortmund,375.75,2018-07-01
RasenBallsport Leipzig,306.70,2018-07-01
Bayer 04 Leverkusen,331.60,2018-07-01
Eintracht Frankfurt,112.55,2018-07-01
VfL Wolfsburg,138.50,2018-07-01
Borussia Mönchengladbach,188.40,2018-07-01
TSG 1899 Hoffenheim,183.90,2018-07-01
VfB Stuttgart,143.90,2018-07-01
SC Freiburg,101.80,2018-07-01
1.FSV Mainz 05,74.23,2018-07-01
1.FC Köln,75.18,2018-07-01
FC Augsburg,96.60,2018-07-01
Hertha BSC,116.18,2018-07-01
1.FC Union Berlin,18.10,2018-07-01
Arminia Bielefeld,15.58,2018-07-01
VfL Bochum,13.25,2018-07-01
SpVgg Greuther Fürth,11.68,2018-07-01
FC Bayern München,789.20,2018-06-15
Borussia Dortmund,394.70,2018-06-15
RasenBallsport Leipzig,361.80,2018-06-15
Bayer 04 Leverkusen,319.85,2018-06-15
Eintracht Frankfurt,125.35,2018-06-15
VfL Wolfsburg,132.35,2018-06-15
Borussia Mönchengladbach,192.60,2018-06-15
TSG 1899 Hoffenheim,194.50,2018-06-15
VfB Stuttgart,120.65,2018-06-15
SC Freiburg,98.20,2018-06-15
1.FSV Mainz 05,87.35,2018-06-15
1.FC Köln,89.28,2018-06-15
FC Augsburg,90.45,2018-06-15
Hertha BSC,123.53,2018-06-15
1.FC Union Berlin,20.90,2018-06-15
Arminia Bielefeld,14.40,2018-06-15
VfL Bochum,14.80,2018-06-15
SpVgg Greuther Fürth,15.25,2018-06-15
FC Bayern München,779.00,2018-06-01
Borussia Dortmund,404.95,2018-06-01
RasenBallsport Leipzig,351.55,2018-06-01
Bayer 04 Leverkusen,308.40,2018-06-01
Eintracht Frankfurt,114.15,2018-06-01
VfL Wolfsburg,142.85,2018-06-01
Borussia Mönchengladbach,195.10,2018-06-01
TSG 1899 Hoffenheim,157.80,2018-06-01
VfB Stuttgart,102.90,2018-06-01
SC Freiburg,85.90,2018-06-01
1.FSV Mainz 05,78.85,2018-06-01
1.FC Köln,114.38,2018-06-01
FC Augsburg,82.80,2018-06-01
Hertha BSC,114.63,2018-06-01
1.FC Union Berlin,20.90,2018-06-01
Arminia Bielefeld,14.40,2018-06-01
VfL Bochum,14.80,2018-06-01
SpVgg Greuther Fürth,15.35,2018-06-01
FC Bayern München,779.00,2018-05-15
Borussia Dortmund,404.95,2018-05-15
RasenBallsport Leipzig,351.55,2018-05-15
Bayer 04 Leverkusen,308.40,2018-05-15
Eintracht Frankfurt,114.15,2018-05-15
VfL Wolfsburg,142.85,2018-05-15
Borussia Mönchengladbach,195.10,2018-05-15
TSG 1899 Hoffenheim,157.80,2018-05-15
VfB Stuttgart,102.90,2018-05-15
SC Freiburg,85.90,2018-05-15
1.FSV Mainz 05,78.85,2018-05-15
1.FC Köln,114.38,2018-05-15
FC Augsburg,81.80,2018-05-15
Hertha BSC,114.63,2018-05-15
1.FC Union Berlin,20.90,2018-05-15
Arminia Bielefeld,14.40,2018-05-15
VfL Bochum,14.90,2018-05-15
SpVgg Greuther Fürth,15.35,2018-05-15
FC Bayern München,779.00,2018-05-01
Borussia Dortmund,404.95,2018-05-01
RasenBallsport Leipzig,351.55,2018-05-01
Bayer 04 Leverkusen,308.40,2018-05-01
Eintracht Frankfurt,114.15,2018-05-01
VfL Wolfsburg,142.85,2018-05-01
Borussia Mönchengladbach,195.10,2018-05-01
TSG 1899 Hoffenheim,157.80,2018-05-01
VfB Stuttgart,102.90,2018-05-01
SC Freiburg,85.90,2018-05-01
1.FSV Mainz 05,78.85,2018-05-01
1.FC Köln,114.38,2018-05-01
FC Augsburg,82.80,2018-05-01
Hertha BSC,114.63,2018-05-01
1.FC Union Berlin,20.90,2018-05-01
Arminia Bielefeld,14.40,2018-05-01
VfL Bochum,14.90,2018-05-01
SpVgg Greuther Fürth,15.35,2018-05-01
FC Bayern München,779.00,2018-04-15
Borussia Dortmund,404.95,2018-04-15
RasenBallsport Leipzig,351.55,2018-04-15
Bayer 04 Leverkusen,308.40,2018-04-15
Eintracht Frankfurt,114.15,2018-04-15
VfL Wolfsburg,142.85,2018-04-15
Borussia Mönchengladbach,195.10,2018-04-15
TSG 1899 Hoffenheim,157.80,2018-04-15
VfB Stuttgart,102.90,2018-04-15
SC Freiburg,85.90,2018-04-15
1.FSV Mainz 05,78.73,2018-04-15
1.FC Köln,114.38,2018-04-15
FC Augsburg,82.80,2018-04-15
Hertha BSC,114.63,2018-04-15
1.FC Union Berlin,20.90,2018-04-15
Arminia Bielefeld,14.40,2018-04-15
VfL Bochum,14.90,2018-04-15
SpVgg Greuther Fürth,15.35,2018-04-15
FC Bayern München,642.50,2018-04-01
Borussia Dortmund,364.45,2018-04-01
RasenBallsport Leipzig,305.55,2018-04-01
Bayer 04 Leverkusen,262.90,2018-04-01
Eintracht Frankfurt,89.15,2018-04-01
VfL Wolfsburg,148.80,2018-04-01
Borussia Mönchengladbach,177.10,2018-04-01
TSG 1899 Hoffenheim,142.80,2018-04-01
VfB Stuttgart,79.65,2018-04-01
SC Freiburg,77.40,2018-04-01
1.FSV Mainz 05,69.70,2018-04-01
1.FC Köln,117.88,2018-04-01
FC Augsburg,68.80,2018-04-01
Hertha BSC,96.13,2018-04-01
1.FC Union Berlin,20.90,2018-04-01
Arminia Bielefeld,14.40,2018-04-01
VfL Bochum,14.90,2018-04-01
SpVgg Greuther Fürth,15.35,2018-04-01
FC Bayern München,642.50,2018-03-15
Borussia Dortmund,364.45,2018-03-15
RasenBallsport Leipzig,305.55,2018-03-15
Bayer 04 Leverkusen,262.90,2018-03-15
Eintracht Frankfurt,89.15,2018-03-15
VfL Wolfsburg,148.80,2018-03-15
Borussia Mönchengladbach,177.10,2018-03-15
TSG 1899 Hoffenheim,142.80,2018-03-15
VfB Stuttgart,79.65,2018-03-15
SC Freiburg,77.40,2018-03-15
1.FSV Mainz 05,69.70,2018-03-15
1.FC Köln,118.03,2018-03-15
FC Augsburg,68.80,2018-03-15
Hertha BSC,96.13,2018-03-15
1.FC Union Berlin,20.35,2018-03-15
Arminia Bielefeld,13.75,2018-03-15
VfL Bochum,14.70,2018-03-15
SpVgg Greuther Fürth,15.20,2018-03-15
FC Bayern München,642.50,2018-03-01
Borussia Dortmund,364.45,2018-03-01
RasenBallsport Leipzig,305.55,2018-03-01
Bayer 04 Leverkusen,262.90,2018-03-01
Eintracht Frankfurt,89.40,2018-03-01
VfL Wolfsburg,148.80,2018-03-01
Borussia Mönchengladbach,177.10,2018-03-01
TSG 1899 Hoffenheim,142.80,2018-03-01
VfB Stuttgart,79.45,2018-03-01
SC Freiburg,77.40,2018-03-01
1.FSV Mainz 05,69.70,2018-03-01
1.FC Köln,118.03,2018-03-01
FC Augsburg,68.80,2018-03-01
Hertha BSC,96.13,2018-03-01
1.FC Union Berlin,20.35,2018-03-01
Arminia Bielefeld,13.75,2018-03-01
VfL Bochum,14.70,2018-03-01
SpVgg Greuther Fürth,15.20,2018-03-01
FC Bayern München,642.50,2018-02-15
Borussia Dortmund,364.45,2018-02-15
RasenBallsport Leipzig,305.55,2018-02-15
Bayer 04 Leverkusen,262.90,2018-02-15
Eintracht Frankfurt,89.40,2018-02-15
VfL Wolfsburg,148.80,2018-02-15
Borussia Mönchengladbach,177.10,2018-02-15
TSG 1899 Hoffenheim,142.80,2018-02-15
VfB Stuttgart,81.15,2018-02-15
SC Freiburg,76.80,2018-02-15
1.FSV Mainz 05,69.70,2018-02-15
1.FC Köln,118.03,2018-02-15
FC Augsburg,68.80,2018-02-15
Hertha BSC,96.13,2018-02-15
1.FC Union Berlin,20.35,2018-02-15
Arminia Bielefeld,13.45,2018-02-15
VfL Bochum,14.70,2018-02-15
SpVgg Greuther Fürth,15.20,2018-02-15
FC Bayern München,642.50,2018-02-01
Borussia Dortmund,364.45,2018-02-01
RasenBallsport Leipzig,305.55,2018-02-01
Bayer 04 Leverkusen,262.90,2018-02-01
Eintracht Frankfurt,89.40,2018-02-01
VfL Wolfsburg,148.80,2018-02-01
Borussia Mönchengladbach,177.23,2018-02-01
TSG 1899 Hoffenheim,142.80,2018-02-01
VfB Stuttgart,81.15,2018-02-01
SC Freiburg,76.80,2018-02-01
1.FSV Mainz 05,72.70,2018-02-01
1.FC Köln,117.80,2018-02-01
FC Augsburg,68.80,2018-02-01
Hertha BSC,96.13,2018-02-01
1.FC Union Berlin,21.60,2018-02-01
Arminia Bielefeld,13.45,2018-02-01
VfL Bochum,14.95,2018-02-01
SpVgg Greuther Fürth,15.20,2018-02-01
FC Bayern München,643.25,2018-01-15
Borussia Dortmund,418.95,2018-01-15
RasenBallsport Leipzig,298.55,2018-01-15
Bayer 04 Leverkusen,266.40,2018-01-15
Eintracht Frankfurt,90.25,2018-01-15
VfL Wolfsburg,150.55,2018-01-15
Borussia Mönchengladbach,172.35,2018-01-15
TSG 1899 Hoffenheim,143.60,2018-01-15
VfB Stuttgart,80.70,2018-01-15
SC Freiburg,76.10,2018-01-15
1.FSV Mainz 05,77.45,2018-01-15
1.FC Köln,108.80,2018-01-15
FC Augsburg,75.60,2018-01-15
Hertha BSC,100.85,2018-01-15
1.FC Union Berlin,21.33,2018-01-15
Arminia Bielefeld,12.23,2018-01-15
