verein,marktwert,date
RasenBallsport Leipzig,505.55,2021-10-01
Bayer 04 Leverkusen,352.75,2021-10-01
Eintracht Frankfurt,231.25,2021-10-01
VfL Wolfsburg,287.83,2021-10-01
Borussia Mönchengladbach,300.00,2021-10-01
TSG 1899 Hoffenheim,207.65,2021-10-01
VfB Stuttgart,169.63,2021-10-01
SC Freiburg,125.15,2021-10-01
1.FSV Mainz 05,100.50,2021-10-01
1.FC Köln,76.46,2021-10-01
FC Augsburg,97.10,2021-10-01
Hertha BSC,137.05,2021-10-01
1.FC Union Berlin,77.80,2021-10-01
Arminia Bielefeld,53.45,2021-10-01
VfL Bochum,36.90,2021-10-01
SpVgg Greuther Fürth,38.88,2021-10-01
FC Bayern München,852.90,2021-09-15
Borussia Dortmund,565.90,2021-09-15
RasenBallsport Leipzig,505.55,2021-09-15
Bayer 04 Leverkusen,352.75,2021-09-15
Eintracht Frankfurt,231.25,2021-09-15
VfL Wolfsburg,287.75,2021-09-15
Borussia Mönchengladbach,300.00,2021-09-15
TSG 1899 Hoffenheim,207.65,2021-09-15
VfB Stuttgart,169.63,2021-09-15
SC Freiburg,125.15,2021-09-15
1.FSV Mainz 05,100.50,2021-09-15
1.FC Köln,76.66,2021-09-15
FC Augsburg,97.10,2021-09-15
Hertha BSC,137.05,2021-09-15
1.FC Union Berlin,77.80,2021-09-15
Arminia Bielefeld,53.45,2021-09-15
VfL Bochum,36.90,2021-09-15
SpVgg Greuther Fürth,39.23,2021-09-15
FC Bayern München,852.40,2021-09-01
Borussia Dortmund,565.55,2021-09-01
RasenBallsport Leipzig,505.55,2021-09-01
Bayer 04 Leverkusen,355.25,2021-09-01
Eintracht Frankfurt,231.25,2021-09-01
VfL Wolfsburg,288.00,2021-09-01
Borussia Mönchengladbach,300.00,2021-09-01
TSG 1899 Hoffenheim,207.65,2021-09-01
VfB Stuttgart,169.55,2021-09-01
SC Freiburg,125.15,2021-09-01
1.FSV Mainz 05,100.80,2021-09-01
1.FC Köln,76.66,2021-09-01
FC Augsburg,97.10,2021-09-01
Hertha BSC,137.05,2021-09-01
1.FC Union Berlin,77.80,2021-09-01
Arminia Bielefeld,53.45,2021-09-01
VfL Bochum,36.90,2021-09-01
SpVgg Greuther Fürth,37.23,2021-09-01
FC Bayern München,818.50,2021-08-15
Borussia Dortmund,572.65,2021-08-15
RasenBallsport Leipzig,560.55,2021-08-15
Bayer 04 Leverkusen,345.25,2021-08-15
Eintracht Frankfurt,224.60,2021-08-15
VfL Wolfsburg,284.48,2021-08-15
Borussia Mönchengladbach,300.80,2021-08-15
TSG 1899 Hoffenheim,204.95,2021-08-15
VfB Stuttgart,165.55,2021-08-15
SC Freiburg,132.65,2021-08-15
1.FSV Mainz 05,103.60,2021-08-15
1.FC Köln,76.15,2021-08-15
FC Augsburg,95.25,2021-08-15
Hertha BSC,176.75,2021-08-15
1.FC Union Berlin,87.50,2021-08-15
Arminia Bielefeld,46.45,2021-08-15
VfL Bochum,37.00,2021-08-15
SpVgg Greuther Fürth,28.23,2021-08-15
FC Bayern München,826.50,2021-08-01
Borussia Dortmund,570.55,2021-08-01
RasenBallsport Leipzig,562.60,2021-08-01
Bayer 04 Leverkusen,378.25,2021-08-01
Eintracht Frankfurt,222.05,2021-08-01
VfL Wolfsburg,287.73,2021-08-01
Borussia Mönchengladbach,296.55,2021-08-01
TSG 1899 Hoffenheim,205.20,2021-08-01
VfB Stuttgart,164.80,2021-08-01
SC Freiburg,132.65,2021-08-01
1.FSV Mainz 05,104.20,2021-08-01
1.FC Köln,77.95,2021-08-01
FC Augsburg,98.25,2021-08-01
Hertha BSC,183.95,2021-08-01
1.FC Union Berlin,87.30,2021-08-01
Arminia Bielefeld,44.15,2021-08-01
VfL Bochum,30.60,2021-08-01
SpVgg Greuther Fürth,28.23,2021-08-01
FC Bayern München,826.50,2021-07-15
Borussia Dortmund,640.30,2021-07-15
RasenBallsport Leipzig,557.60,2021-07-15
Bayer 04 Leverkusen,371.25,2021-07-15
Eintracht Frankfurt,223.35,2021-07-15
VfL Wolfsburg,263.45,2021-07-15
Borussia Mönchengladbach,297.60,2021-07-15
TSG 1899 Hoffenheim,207.20,2021-07-15
VfB Stuttgart,162.90,2021-07-15
SC Freiburg,129.65,2021-07-15
1.FSV Mainz 05,101.70,2021-07-15
1.FC Köln,91.25,2021-07-15
FC Augsburg,98.25,2021-07-15
Hertha BSC,193.95,2021-07-15
1.FC Union Berlin,80.25,2021-07-15
Arminia Bielefeld,42.93,2021-07-15
VfL Bochum,30.70,2021-07-15
SpVgg Greuther Fürth,28.73,2021-07-15
FC Bayern München,839.90,2021-07-01
Borussia Dortmund,644.50,2021-07-01
RasenBallsport Leipzig,543.45,2021-07-01
Bayer 04 Leverkusen,360.75,2021-07-01
Eintracht Frankfurt,242.35,2021-07-01
VfL Wolfsburg,258.85,2021-07-01
Borussia Mönchengladbach,291.30,2021-07-01
TSG 1899 Hoffenheim,197.15,2021-07-01
VfB Stuttgart,192.55,2021-07-01
SC Freiburg,133.85,2021-07-01
1.FSV Mainz 05,116.60,2021-07-01
1.FC Köln,93.83,2021-07-01
FC Augsburg,96.55,2021-07-01
Hertha BSC,194.85,2021-07-01
1.FC Union Berlin,61.85,2021-07-01
Arminia Bielefeld,35.75,2021-07-01
VfL Bochum,26.35,2021-07-01
SpVgg Greuther Fürth,30.38,2021-07-01
FC Bayern München,814.20,2021-06-15
Borussia Dortmund,624.30,2021-06-15
RasenBallsport Leipzig,560.95,2021-06-15
Bayer 04 Leverkusen,370.75,2021-06-15
Eintracht Frankfurt,244.05,2021-06-15
VfL Wolfsburg,247.25,2021-06-15
Borussia Mönchengladbach,295.95,2021-06-15
TSG 1899 Hoffenheim,217.70,2021-06-15
VfB Stuttgart,189.25,2021-06-15
SC Freiburg,136.10,2021-06-15
1.FSV Mainz 05,110.50,2021-06-15
1.FC Köln,100.35,2021-06-15
FC Augsburg,91.90,2021-06-15
Hertha BSC,210.60,2021-06-15
1.FC Union Berlin,80.70,2021-06-15
Arminia Bielefeld,55.65,2021-06-15
VfL Bochum,21.95,2021-06-15
SpVgg Greuther Fürth,22.08,2021-06-15
FC Bayern München,829.60,2021-06-01
Borussia Dortmund,596.10,2021-06-01
RasenBallsport Leipzig,564.78,2021-06-01
Bayer 04 Leverkusen,381.40,2021-06-01
Eintracht Frankfurt,227.90,2021-06-01
VfL Wolfsburg,241.00,2021-06-01
Borussia Mönchengladbach,314.45,2021-06-01
TSG 1899 Hoffenheim,230.30,2021-06-01
VfB Stuttgart,181.30,2021-06-01
SC Freiburg,132.38,2021-06-01
1.FSV Mainz 05,93.35,2021-06-01
1.FC Köln,108.15,2021-06-01
FC Augsburg,98.68,2021-06-01
Hertha BSC,218.33,2021-06-01
1.FC Union Berlin,76.80,2021-06-01
Arminia Bielefeld,53.15,2021-06-01
VfL Bochum,21.95,2021-06-01
SpVgg Greuther Fürth,22.08,2021-06-01
FC Bayern München,841.60,2021-05-15
Borussia Dortmund,581.45,2021-05-15
RasenBallsport Leipzig,561.78,2021-05-15
Bayer 04 Leverkusen,385.40,2021-05-15
Eintracht Frankfurt,227.90,2021-05-15
VfL Wolfsburg,234.05,2021-05-15
Borussia Mönchengladbach,323.45,2021-05-15
TSG 1899 Hoffenheim,237.30,2021-05-15
VfB Stuttgart,171.00,2021-05-15
SC Freiburg,130.38,2021-05-15
1.FSV Mainz 05,92.85,2021-05-15
1.FC Köln,107.15,2021-05-15
FC Augsburg,101.50,2021-05-15
Hertha BSC,220.00,2021-05-15
1.FC Union Berlin,76.30,2021-05-15
Arminia Bielefeld,52.65,2021-05-15
VfL Bochum,21.95,2021-05-15
SpVgg Greuther Fürth,22.08,2021-05-15
FC Bayern München,841.60,2021-05-01
Borussia Dortmund,581.45,2021-05-01
RasenBallsport Leipzig,561.78,2021-05-01
Bayer 04 Leverkusen,385.40,2021-05-01
Eintracht Frankfurt,227.90,2021-05-01
VfL Wolfsburg,234.05,2021-05-01
Borussia Mönchengladbach,323.45,2021-05-01
TSG 1899 Hoffenheim,237.30,2021-05-01
VfB Stuttgart,171.00,2021-05-01
SC Freiburg,130.38,2021-05-01
1.FSV Mainz 05,92.85,2021-05-01
1.FC Köln,107.15,2021-05-01
FC Augsburg,101.50,2021-05-01
Hertha BSC,220.00,2021-05-01
1.FC Union Berlin,76.30,2021-05-01
Arminia Bielefeld,52.65,2021-05-01
VfL Bochum,21.95,2021-05-01
SpVgg Greuther Fürth,22.08,2021-05-01
FC Bayern München,842.60,2021-04-15
Borussia Dortmund,581.45,2021-04-15
RasenBallsport Leipzig,561.78,2021-04-15
Bayer 04 Leverkusen,385.40,2021-04-15
Eintracht Frankfurt,227.90,2021-04-15
VfL Wolfsburg,234.05,2021-04-15
Borussia Mönchengladbach,323.45,2021-04-15
TSG 1899 Hoffenheim,237.30,2021-04-15
VfB Stuttgart,170.50,2021-04-15
SC Freiburg,130.38,2021-04-15
1.FSV Mainz 05,92.85,2021-04-15
1.FC Köln,107.15,2021-04-15
FC Augsburg,102.23,2021-04-15
Hertha BSC,220.00,2021-04-15
1.FC Union Berlin,76.30,2021-04-15
Arminia Bielefeld,52.65,2021-04-15
VfL Bochum,21.95,2021-04-15
SpVgg Greuther Fürth,22.08,2021-04-15
FC Bayern München,841.60,2021-04-01
Borussia Dortmund,581.45,2021-04-01
RasenBallsport Leipzig,561.78,2021-04-01
Bayer 04 Leverkusen,385.40,2021-04-01
Eintracht Frankfurt,227.90,2021-04-01
VfL Wolfsburg,234.05,2021-04-01
Borussia Mönchengladbach,323.45,2021-04-01
TSG 1899 Hoffenheim,238.05,2021-04-01
VfB Stuttgart,170.50,2021-04-01
SC Freiburg,130.08,2021-04-01
1.FSV Mainz 05,92.85,2021-04-01
1.FC Köln,107.00,2021-04-01
FC Augsburg,101.50,2021-04-01
Hertha BSC,220.00,2021-04-01
1.FC Union Berlin,76.30,2021-04-01
Arminia Bielefeld,52.65,2021-04-01
VfL Bochum,21.95,2021-04-01
SpVgg Greuther Fürth,22.08,2021-04-01
FC Bayern München,826.50,2021-03-15
Borussia Dortmund,592.95,2021-03-15
RasenBallsport Leipzig,558.78,2021-03-15
Bayer 04 Leverkusen,396.30,2021-03-15
Eintracht Frankfurt,206.40,2021-03-15
VfL Wolfsburg,221.05,2021-03-15
Borussia Mönchengladbach,346.45,2021-03-15
TSG 1899 Hoffenheim,228.30,2021-03-15
VfB Stuttgart,151.00,2021-03-15
SC Freiburg,127.58,2021-03-15
1.FSV Mainz 05,87.95,2021-03-15
1.FC Köln,106.50,2021-03-15
FC Augsburg,101.10,2021-03-15
Hertha BSC,224.70,2021-03-15
1.FC Union Berlin,76.20,2021-03-15
Arminia Bielefeld,50.75,2021-03-15
VfL Bochum,20.85,2021-03-15
